sp,CollectionCode,Subsample,SpecimenCode,CL,PoOC,PrAC,ClyL,CWB,Cweye,FR,TCD,GPD,SL,MW,PEW,MPD,ML,MPH,NOH,HTL,EL,OMD
hildebrandti,BLF15075,,CASENT0809769,2.15,0.72,1.03,0.64,1.36,1.33,0.42,0.29,0.79,3.33,1.11,0.32,2.1,3.65,1.02,0.33,3.38,0.44,0.85
hildebrandti,BLF19217,,CASENT0134389,2,0.63,0.98,0.6,1.25,1.23,0.33,0.25,0.7,3.31,0.96,0.28,2.08,3.49,0.89,0.27,3.46,0.4,0.85
hildebrandti,BLF21847,,CASENT0147079,2.27,0.68,1.06,0.66,1.5,1.43,0.42,0.38,0.89,3.49,1.21,0.42,2.42,3.92,1.06,0.33,3.69,0.44,0.93
hildebrandti,BLF21982,,CASENT0153037,2.21,0.7,1.02,0.62,1.36,1.34,0.42,0.34,0.85,3.5,1.11,0.32,2.41,3.68,0.97,0.3,3.65,0.42,0.9
hildebrandti,BLF21982,,CASENT0830909,2.15,0.73,1.11,0.63,1.42,1.36,0.4,0.3,0.8,3.67,1.14,0.34,2.2,3.86,0.99,0.34,3.41,0.44,0.9
hildebrandti,BLF22019,,CASENT0830913,2.13,0.75,0.98,0.61,1.37,1.34,0.42,0.3,0.79,3.49,1.06,0.35,2.11,3.7,0.94,0.33,3.63,0.44,0.86
hildebrandti,BLF22082,,CASENT0830922,2.07,0.69,1.05,0.64,1.28,1.26,0.37,0.29,0.77,3.45,1.04,0.28,2.13,3.63,0.88,0.3,3.56,0.4,0.92
hildebrandti,BLF22082,,CASENT0149815,2.03,0.62,0.99,0.61,1.28,1.25,0.38,0.29,0.8,3.39,1.04,0.3,2.13,3.47,0.88,0.29,3.55,0.39,0.94
hildebrandti,BLF27938,,CASENT0274078,2,0.64,0.96,0.58,1.3,1.29,0.4,0.27,0.73,3.39,1.03,0.32,2.17,3.58,0.91,0.31,3.51,0.39,0.91
hildebrandti,BLF28398,,CASENT0809637,2.21,0.73,1.1,0.66,1.41,1.37,0.4,0.31,0.82,3.5,1.13,0.32,2.34,3.8,0.98,0.33,3.69,0.41,0.96
hildebrandti,BLF29796,,CASENT0809856,2.24,0.77,1.13,0.69,1.44,1.41,0.41,0.32,0.82,3.61,1.11,0.4,2.31,3.8,1,0.33,3.81,0.44,0.93
hildebrandti,BLF32215,,CASENT0825532,2.05,0.56,1.06,0.65,1.37,1.33,0.38,0.28,0.83,3.43,1.04,0.36,2.23,3.63,1,0.27,3.59,0.42,0.93
hildebrandti,BLF33464,,CASENT0377180,2.16,0.67,1.13,0.68,1.41,1.38,0.4,0.3,0.83,3.4,1.14,0.36,2.3,3.68,1.02,0.36,3.54,0.42,0.88
